1 Series 5-door F20 From September 2011	default6Months=785.0, default12Months=431.75, first6Months=785.0, first12Months=431.75
1 Series E81/E82/E87/E88	default6Months=2160.0, default12Months=1188.0, first6Months=2160.0, first12Months=1188.0
1600 From January 2011 onwards	default6Months=135.0, default12Months=74.25, first6Months=135.0, first12Months=74.25
2000 From January 2011 onwards	default6Months=170.0, default12Months=93.5, first6Months=170.0, first12Months=93.5
207 CC	default6Months=270.0, default12Months=148.5, first6Months=270.0, first12Months=148.5
207 Hatchback	default6Months=1460.0, default12Months=803.0, first6Months=1460.0, first12Months=803.0
207 SW	default6Months=545.0, default12Months=299.75, first6Months=545.0, first12Months=299.75
208 Hatchback	default6Months=360.0, default12Months=198.0, first6Months=360.0, first12Months=198.0
3 Series E90/E91/E92/E93	default6Months=3600.0, default12Months=1980.0, first6Months=3600.0, first12Months=1980.0
3 Series Saloon F30 From February 2012	default6Months=540.0, default12Months=297.0, first6Months=540.0, first12Months=297.0
3008	default6Months=715.0, default12Months=393.25, first6Months=715.0, first12Months=393.25
308 CC	default6Months=645.0, default12Months=354.75, first6Months=645.0, first12Months=354.75
308 Hatchback	default6Months=1070.0, default12Months=588.5, first6Months=1070.0, first12Months=588.5
308 SW	default6Months=730.0, default12Months=401.5, first6Months=730.0, first12Months=401.5
5 Series F10/F11 From March 2010	default6Months=11785.0, default12Months=6481.75, first6Months=11785.0, first12Months=6481.75
500	default6Months=680.0, default12Months=374.0, first6Months=680.0, first12Months=374.0
5008	default6Months=835.0, default12Months=459.25, first6Months=835.0, first12Months=459.25
508 SW	default6Months=575.0, default12Months=316.25, first6Months=575.0, first12Months=316.25
508 Saloon	default6Months=540.0, default12Months=297.0, first6Months=540.0, first12Months=297.0
6 Series F12/F13 March 2011	default6Months=1080.0, default12Months=594.0, first6Months=1080.0, first12Months=594.0
6 Series Gran Coupé F06 From June 2012	default6Months=405.0, default12Months=222.75, first6Months=405.0, first12Months=222.75
911	default6Months=135.0, default12Months=74.25, first6Months=135.0, first12Months=74.25
A-Class 5 Door Model Year 2011	default6Months=2495.0, default12Months=1372.25, first6Months=2495.0, first12Months=1372.25
A1	default6Months=120.0, default12Months=66.0, first6Months=120.0, first12Months=66.0
A1 Sportback	default6Months=120.0, default12Months=66.0, first6Months=120.0, first12Months=66.0
A3	default6Months=425.0, default12Months=233.75, first6Months=425.0, first12Months=233.75
A3 Cabriolet	default6Months=580.0, default12Months=319.0, first6Months=580.0, first12Months=319.0
A3 Sportback	default6Months=715.0, default12Months=393.25, first6Months=715.0, first12Months=393.25
A4 Allroad	default6Months=510.0, default12Months=280.5, first6Months=510.0, first12Months=280.5
A4 Avant	default6Months=1480.0, default12Months=814.0, first6Months=1480.0, first12Months=814.0
A4 Saloon	default6Months=1295.0, default12Months=712.25, first6Months=1295.0, first12Months=712.25
A5 Cabriolet	default6Months=1290.0, default12Months=709.5, first6Months=1290.0, first12Months=709.5
A5 Coupé	default6Months=1090.0, default12Months=599.5, first6Months=1090.0, first12Months=599.5
A5 Sportback	default6Months=1515.0, default12Months=833.25, first6Months=1515.0, first12Months=833.25
A6 Allroad	default6Months=340.0, default12Months=187.0, first6Months=340.0, first12Months=187.0
A6 Avant	default6Months=650.0, default12Months=357.5, first6Months=650.0, first12Months=357.5
A6 Saloon	default6Months=530.0, default12Months=291.5, first6Months=530.0, first12Months=291.5
A7 Sportback	default6Months=460.0, default12Months=253.0, first6Months=460.0, first12Months=253.0
ASX	default6Months=1275.0, default12Months=701.25, first6Months=1275.0, first12Months=701.25
Accord Saloon Model Year 2011	default6Months=575.0, default12Months=316.25, first6Months=575.0, first12Months=316.25
Accord Saloon Model Year 2012	default6Months=1545.0, default12Months=849.75, first6Months=1545.0, first12Months=849.75
Accord Saloon Model Year 2013	default6Months=1070.0, default12Months=588.5, first6Months=1070.0, first12Months=588.5
Accord Tourer Model Year 2011	default6Months=510.0, default12Months=280.5, first6Months=510.0, first12Months=280.5
Accord Tourer Model Year 2012	default6Months=880.0, default12Months=484.0, first6Months=880.0, first12Months=484.0
Accord Tourer Model Year 2013	default6Months=745.0, default12Months=409.75, first6Months=745.0, first12Months=409.75
Agila Model Year 2011	default6Months=120.0, default12Months=66.0, first6Months=120.0, first12Months=66.0
